N,PrimTime(ns),KruskalTime(ns)
10,6250,4093
20,18755,20771
30,29456,45497
40,67968,86743
50,54682,156813
60,67975,220319
70,109793,323444
80,164173,421352
90,168149,523208
100,201109,641566
110,215785,810540
120,256343,1013151
130,428801,1235619
140,533139,1356295
150,558522,1608487
160,643019,1745636
170,670911,1992378
180,741131,2298740
190,781637,2640313
200,897988,2946158
210,972256,3309415
220,1012907,3647324
230,1093131,4003099
240,1305767,4440939
250,1395396,4751001
260,2076384,5272339
270,2052436,5543830
280,2172106,6066564
290,2242610,6446509
300,2444652,7101284
310,2478935,7716045
320,2412232,8259637
330,2586355,8859644
340,2998823,9669983
350,2983443,10391848
360,3085602,10748883
370,3258773,11283761
380,3378376,12319058
390,3352824,12896751
400,3704190,13864928
410,3558434,14780646
420,3845941,15474552
430,4256146,16776959
440,4153635,17821461
450,4664530,19811372
460,4713597,20055329
470,4734381,20448878
480,4502070,21476095
490,4913753,22741930
500,5005027,23226736
510,5024735,24317160
520,8067581,25466598
530,7556052,24886977
540,7963267,25905526
550,7898933,27081075
560,8476160,28943547
570,8557303,29710310
580,9169595,31328685
590,9606047,32867948
600,8868511,32678389
610,9534173,34030730
620,8941805,35999173
630,9624803,37659572
640,9577509,37917354
650,9851582,38226365
660,9599225,39894128
670,10154550,41597781
680,10884325,44491638
690,10587402,44322386
700,10587254,44520129
710,11521027,47613188
720,11815543,50420281
730,12153544,52399028
740,11863233,55037887
750,12083451,53508417
760,11683735,53829919
770,12278229,54319614
780,13165872,57995251
790,13469064,64593090
800,13052684,62752271
810,13041956,61206350
820,13710671,63287288
830,14415838,64590140
840,13663159,66993876
850,14053526,69603056
860,20923562,70856059
870,19783109,71657510
880,21178980,75043875
890,20885543,75198884
900,21133369,77949093
910,23134043,80699499
920,27215283,87028483
930,24754593,89930378
940,29200050,93722459
950,25898694,93296055
960,27474477,93799665
970,28284909,97282601
980,25608706,96707487
990,27709695,103645673
1000,28093700,100624971
